Room type;Furniture;Color;Quantity;Price for 1 piece;Total cost;Source
Гостиная;Диван;темно-серый;1;22999;22999;https://www.ikea.com/ru/ru/p/friheten-friheten-3-mestnyy-divan-krovat-shiftebu-temno-seryy-60411555/
Гостиная;Кресло-кровать;светло-серый;1;15999;15999;https://www.ikea.com/ru/ru/p/vattviken-vattviken-kreslo-krovat-visle-svetlo-seryy-80518683/
Гостиная;Кресло с подголовником;желтый;1;13999;13999;https://www.ikea.com/ru/ru/p/strandmon-strandmon-kreslo-s-podgolovnikom-shiftebu-zheltyy-80419942/
Гостиная;Комбинация для ТВ;белый/серый/синий;1;21599;21599;https://www.ikea.com/ru/ru/p/besta-besto-eket-eket-kombinaciya-dlya-tv-belyy-temno-seryy-sero-biryuzovyy-s19413543/
Гостиная;Стеллаж;белый;1;6499;6499;https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-belyy-40409940/
Гостиная;Придиванный столик;черный;1;1999;1999;https://www.ikea.com/ru/ru/p/burvik-burvik-pridivannyy-stolik-chernyy-70355525/
Гостиная;Шторы;желтый;1;2699;2699;https://www.ikea.com/ru/ru/p/majgull-maygull-zatemnyayushchie-gardiny-2-sht-zheltyy-30417790/
Гостиная;Тюль;белый;2;299;598;https://www.ikea.com/ru/ru/p/lill-lill-gardiny-2-sht-belyy-50370584/
Гостиная;Ковер;белый;2;9999;19998;https://www.ikea.com/ru/ru/p/vollerslev-vollerslev-kover-dlinnyy-vors-belyy-90492545/
Гостиная;Подушка;серый;2;179;358;https://www.ikea.com/ru/ru/p/kaerleksgraes-kerleksgres-podushka-seryy-80495399/
Гостиная;Коробка;темно-серый;3;299;897;https://www.ikea.com/ru/ru/p/droena-dryona-korobka-temno-seryy-00443979/
Гостиная;Плед;розовый;1;1699;1699;https://www.ikea.com/ru/ru/p/ingabritta-igabritta-pled-bledno-rozovyy-50374068/
Гостиная;Лампочка;белый;12;199;2388;https://www.ikea.com/ru/ru/p/ryet-riet-svetodiod-e27-1055-lm-sharoobraznyy-molochnyy-40447621/
Гостиная;Полка навесная;белый;1;849;849;https://www.ikea.com/ru/ru/p/lack-lakk-polka-navesnaya-belyy-80379494/
Гостиная;Потолочный светильник;белый;1;2999;2999;https://www.ikea.com/ru/ru/p/nymane-nimone-svetodiodnyy-potolochnyy-svetilnik-belyy-70362093/
Гостиная;Бра;белый;2;999;1998;https://www.ikea.com/ru/ru/p/nymane-nimone-bra-belyy-80397860/
Гостиная;Рамка для фото;черный;5;269;1345;https://www.ikea.com/ru/ru/p/ribba-ribba-rama-chernyy-30381545/
Гостиная;Ваза;прозрачный;1;449;449;https://www.ikea.com/ru/ru/p/beraekna-berekna-vaza-prozrachnoe-steklo-80378244/
Спальня;Кровать;белый;1;36999;36999;https://www.ikea.com/ru/ru/p/malm-malm-krovat-s-podemnym-mehanizmom-belyy-00404807/
Спальня;Матрас;бежевый;1;14999;14999;https://www.ikea.com/ru/ru/p/havoeysund-havyoysund-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-temno-bezhevyy-30508568/
Спальня;Одеяло;белый;1;3499;3499;https://www.ikea.com/ru/ru/p/fjaellarnika-fellarnika-odeyalo-teploe-10459045/
Спальня;Подушка;белый;2;4499;8998;https://www.ikea.com/ru/ru/p/gulkavle-gulkavle-podushka-vysokaya-70460296/
Спальня;Постельное белье;розовый;1;1799;1799;https://www.ikea.com/ru/ru/p/bergpalm-bergpalm-pododeyalnik-i-2-navolochki-rozovyy-poloska-70423218/
Спальня;Простынь;темно-серый;1;999;999;https://www.ikea.com/ru/ru/p/nattjasmin-nattesmin-prostynya-natyazhnaya-temno-seryy-40442685/
Спальня;Гардероб;белый;1;25900;25900;https://www.ikea.com/ru/ru/p/pax-paks-mehamn-auli-mehamn-auli-garderob-kombinaciya-belyy-zerkalnoe-steklo-s39330603/
Спальня;Комод;серый/белый;1;17999;17999;https://www.ikea.com/ru/ru/p/visthus-visthus-komod-s-8-yashchikami-seryy-belyy-70493536/
Спальня;Зеркало;белый;1;6499;6499;https://www.ikea.com/ru/ru/p/storjorm-storyorm-zerkalo-s-podsvetkoy-belyy-20369073/
Спальня;Потолочные софиты;черный;2;3999;7998;https://www.ikea.com/ru/ru/p/baeve-beve-potolochnaya-shina-5-svetodiodov-belyy-80399736/
Спальня;Светильник напольный;белый;1;3199;3199;https://www.ikea.com/ru/ru/p/ringsta-ringsta-skaftet-skaftet-svetilnik-napolnyy-belyy-nikelirovannyy-s89387442/
Спальня;Прикроватная тумба;черный;1;2999;2999;https://www.ikea.com/ru/ru/p/trysil-trisil-tumba-prikrovatnaya-temno-korichnevyy-chernyy-90368862/
Спальня;Лампа настольная;черный;1;1499;1499;https://www.ikea.com/ru/ru/p/markfrost-markfrost-lampa-nastolnaya-mramor-chernyy-90484833/
Спальня;Светодиод;прозрачный;1;799;799;https://www.ikea.com/ru/ru/p/rollsbo-rollsbu-svetodiod-e27-140-lm-reguliruemaya-yarkost-sharovidnyy-korichnevyy-prozrachnoe-steklo-60416360/
Спальня;Овечья шкура;белый;1;2199;2199;https://www.ikea.com/ru/ru/p/ludde-ludde-ovechya-shkura-neokrashennaya-belyy-00370888/
Спальня;Шторы, блокирующие свет;темно-серый;1;3299;3299;https://www.ikea.com/ru/ru/p/hilleborg-hilleborg-gardiny-blokiruyushchie-svet-2-sht-seryy-90425037/
Спальня;Набор коробок;белый;1;429;429;https://www.ikea.com/ru/ru/p/skubb-skubb-nabor-korobok-6-sht-belyy-10428563/
